"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","7","3 out of 5 stars","-"
"2",1,"Jonathan Taylor",IND,"RB1","14","3 out of 5 stars","-"
"3",1,"Christian McCaffrey",CAR,"RB2","13","3 out of 5 stars","-"
"4",1,"Austin Ekeler",LAC,"RB3","8","2 out of 5 stars","-"
"5",1,"Justin Herbert",LAC,"QB2","8","3 out of 5 stars","-"
"6",2,"Dalvin Cook",MIN,"RB4","7","4 out of 5 stars","-"
"7",2,"Patrick Mahomes II",KC,"QB3","8","2 out of 5 stars","-"
"8",2,"Lamar Jackson",BAL,"QB4","10","2 out of 5 stars","-"
"9",2,"Najee Harris",PIT,"RB5","9","3 out of 5 stars","-"
"10",2,"Cooper Kupp",LAR,"WR1","7","2 out of 5 stars","-"
"11",2,"Derrick Henry",TEN,"RB6","6","4 out of 5 stars","-"
"12",2,"Justin Jefferson",MIN,"WR2","7","2 out of 5 stars","-"
"13",3,"Travis Kelce",KC,"TE1","8","3 out of 5 stars","-"
"14",3,"Joe Mixon",CIN,"RB7","10","3 out of 5 stars","-"
"15",3,"D'Andre Swift",DET,"RB8","6","4 out of 5 stars","-"
"16",3,"Ja'Marr Chase",CIN,"WR3","10","3 out of 5 stars","-"
"17",3,"Kyler Murray",ARI,"QB5","13","2 out of 5 stars","-"
"18",3,"Stefon Diggs",BUF,"WR4","7","4 out of 5 stars","-"
"19",3,"Davante Adams",LV,"WR5","6","2 out of 5 stars","-"
"20",4,"Jalen Hurts",PHI,"QB6","7","4 out of 5 stars","-"
"21",4,"Aaron Jones",GB,"RB9","14","3 out of 5 stars","-"
"22",4,"CeeDee Lamb",DAL,"WR6","9","3 out of 5 stars","-"
"23",4,"Saquon Barkley",NYG,"RB10","9","3 out of 5 stars","-"
"24",4,"Leonard Fournette",TB,"RB11","11","2 out of 5 stars","-"
"25",4,"Joe Burrow",CIN,"QB7","10","2 out of 5 stars","-"
"26",4,"Mark Andrews",BAL,"TE2","10","2 out of 5 stars","-"
"27",4,"Alvin Kamara",NO,"RB12","14","3 out of 5 stars","-"
"28",4,"Mike Evans",TB,"WR7","11","4 out of 5 stars","-"
"29",5,"Tyreek Hill",MIA,"WR8","11","2 out of 5 stars","-"
"30",5,"Keenan Allen",LAC,"WR9","8","3 out of 5 stars","-"
"31",5,"Javonte Williams",DEN,"RB13","9","3 out of 5 stars","-"
"32",5,"Deebo Samuel",SF,"WR10","9","3 out of 5 stars","-"
"33",5,"Russell Wilson",DEN,"QB8","9","4 out of 5 stars","-"
"34",5,"Dak Prescott",DAL,"QB9","9","3 out of 5 stars","-"
"35",5,"Tom Brady",TB,"QB10","11","3 out of 5 stars","-"
"36",5,"Nick Chubb",CLE,"RB14","9","3 out of 5 stars","-"
"37",5,"Tee Higgins",CIN,"WR11","10","3 out of 5 stars","-"
"38",5,"Michael Pittman Jr.",IND,"WR12","14","4 out of 5 stars","-"
"39",5,"A.J. Brown",PHI,"WR13","7","4 out of 5 stars","-"
"40",5,"Matthew Stafford",LAR,"QB11","7","3 out of 5 stars","-"
"41",5,"DJ Moore",CAR,"WR14","13","3 out of 5 stars","-"
"42",5,"James Conner",ARI,"RB15","13","2 out of 5 stars","-"
"43",5,"Diontae Johnson",PIT,"WR15","9","4 out of 5 stars","-"
"44",5,"Ezekiel Elliott",DAL,"RB16","9","4 out of 5 stars","-"
"45",6,"Trey Lance",SF,"QB12","9","3 out of 5 stars","-"
"46",6,"Aaron Rodgers",GB,"QB13","14","2 out of 5 stars","-"
"47",6,"David Montgomery",CHI,"RB17","14","5 out of 5 stars","-"
"48",6,"Kyle Pitts",ATL,"TE3","14","2 out of 5 stars","-"
"49",6,"Jaylen Waddle",MIA,"WR16","11","2 out of 5 stars","-"
"50",6,"Cam Akers",LAR,"RB18","7","2 out of 5 stars","-"
"51",6,"Travis Etienne Jr.",JAC,"RB19","11","3 out of 5 stars","-"
"52",6,"Terry McLaurin",WAS,"WR17","14","4 out of 5 stars","-"
"53",6,"Breece Hall",NYJ,"RB20","10","4 out of 5 stars","-"
"54",6,"Derek Carr",LV,"QB14","6","2 out of 5 stars","-"
"55",6,"Kirk Cousins",MIN,"QB15","7","3 out of 5 stars","-"
"56",6,"Brandin Cooks",HOU,"WR18","6","3 out of 5 stars","-"
"57",6,"George Kittle",SF,"TE4","9","4 out of 5 stars","-"
