"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Jonathan Taylor",IND,"14","3 out of 5 stars","0"
"2",1,"Christian McCaffrey",CAR,"13","3 out of 5 stars","0"
"3",1,"Austin Ekeler",LAC,"8","2 out of 5 stars","0"
"4",2,"Dalvin Cook",MIN,"7","4 out of 5 stars","+2"
"5",2,"Najee Harris",PIT,"9","3 out of 5 stars","0"
"6",2,"Derrick Henry",TEN,"6","4 out of 5 stars","-2"
"7",2,"Joe Mixon",CIN,"10","3 out of 5 stars","0"
"8",2,"D'Andre Swift",DET,"6","4 out of 5 stars","0"
"9",3,"Aaron Jones",GB,"14","3 out of 5 stars","+4"
"10",3,"Leonard Fournette",TB,"11","2 out of 5 stars","+2"
"11",3,"Saquon Barkley",NYG,"9","3 out of 5 stars","+3"
"12",3,"Javonte Williams",DEN,"9","3 out of 5 stars","-3"
"13",3,"Nick Chubb",CLE,"9","3 out of 5 stars","-3"
"14",3,"Alvin Kamara",NO,"14","3 out of 5 stars","-3"
"15",3,"James Conner",ARI,"13","2 out of 5 stars","0"
"16",3,"David Montgomery",CHI,"14","5 out of 5 stars","+2"
"17",3,"Ezekiel Elliott",DAL,"9","4 out of 5 stars","0"
"18",4,"Cam Akers",LAR,"7","2 out of 5 stars","-2"
"19",4,"Travis Etienne Jr.",JAC,"11","3 out of 5 stars","+4"
"20",4,"Breece Hall",NYJ,"10","4 out of 5 stars","+2"
"21",4,"Antonio Gibson",WAS,"14","4 out of 5 stars","-2"
"22",4,"Josh Jacobs",LV,"6","2 out of 5 stars","-2"
"23",4,"J.K. Dobbins",BAL,"10","4 out of 5 stars","-2"
"24",4,"Elijah Mitchell",SF,"9","2 out of 5 stars","0"
"25",4,"AJ Dillon",GB,"14","3 out of 5 stars","0"
"26",4,"Miles Sanders",PHI,"7","3 out of 5 stars","+1"
"27",5,"Clyde Edwards-Helaire",KC,"8","3 out of 5 stars","-1"
"28",5,"Kareem Hunt",CLE,"9","3 out of 5 stars","+2"
"29",5,"Chase Edmonds",MIA,"11","4 out of 5 stars","+4"
"30",5,"Damien Harris",NE,"10","4 out of 5 stars","-2"
"31",5,"Tony Pollard",DAL,"9","4 out of 5 stars","0"
"32",5,"Devin Singletary",BUF,"7","4 out of 5 stars","-3"
"33",5,"Cordarrelle Patterson",ATL,"14","1 out of 5 stars","+9"
"34",5,"Rashaad Penny",SEA,"11","2 out of 5 stars","-2"
"35",5,"Melvin Gordon III",DEN,"9","3 out of 5 stars","0"
"36",5,"Ken Walker III",SEA,"11","2 out of 5 stars","-2"
"37",5,"Rhamondre Stevenson",NE,"10","4 out of 5 stars","-1"
"38",5,"Michael Carter",NYJ,"10","4 out of 5 stars","-1"
"39",5,"Nyheim Hines",IND,"14","3 out of 5 stars","+4"
"40",6,"Ronald Jones II",KC,"8","3 out of 5 stars","+1"
"41",6,"James Cook",BUF,"7","4 out of 5 stars","-2"
"42",6,"Alexander Mattison",MIN,"7","4 out of 5 stars","-2"
"43",6,"J.D. McKissic",WAS,"14","4 out of 5 stars","+2"
"44",6,"Darrell Henderson Jr.",LAR,"7","2 out of 5 stars","0"
"45",6,"James Robinson",JAC,"11","3 out of 5 stars","-7"
"46",6,"Isaiah Spiller",LAC,"8","2 out of 5 stars","+1"
"47",6,"Kenneth Gainwell",PHI,"7","3 out of 5 stars","+3"
"48",6,"Jamaal Williams",DET,"6","4 out of 5 stars","+5"
"49",6,"Raheem Mostert",MIA,"11","4 out of 5 stars","-1"
"50",6,"Dameon Pierce",HOU,"6","3 out of 5 stars","-4"
"51",6,"Gus Edwards",BAL,"10","4 out of 5 stars","+5"
"52",6,"Khalil Herbert",CHI,"14","5 out of 5 stars","+7"
"53",6,"Sony Michel",MIA,"11","4 out of 5 stars","+8"
"54",6,"Darrel Williams",ARI,"13","2 out of 5 stars","+1"
"55",6,"Marlon Mack",HOU,"6","3 out of 5 stars","-3"
"56",6,"Tyler Allgeier",ATL,"14","1 out of 5 stars","-5"
"57",6,"Mark Ingram II",NO,"14","3 out of 5 stars","-3"
"58",6,"D'Onta Foreman",CAR,"13","3 out of 5 stars","+4"
"59",7,"Rachaad White",TB,"11","2 out of 5 stars","-10"
"60",7,"James White",NE,"10","4 out of 5 stars","+8"
"61",7,"Kenyan Drake",LV,"6","2 out of 5 stars","-3"
"62",7,"Chuba Hubbard",CAR,"13","3 out of 5 stars","-2"
"63",7,"Brian Robinson Jr.",WAS,"14","4 out of 5 stars","+1"
"64",7,"Boston Scott",PHI,"7","3 out of 5 stars","+14"
"65",7,"Samaje Perine",CIN,"10","3 out of 5 stars","+9"
"66",7,"Myles Gaskin",MIA,"11","4 out of 5 stars","-1"
